Id,WnvPresent
1,0.00116539526028
2,0.000566075443129
3,0.0012772217687
4,8.07451628214e-05
5,7.44862071827e-05
6,7.70043740842e-05
7,7.27910776932e-05
8,0.00011678013127
9,0.000653095013806
10,0.000319298238453
11,0.000720339246865
12,4.969015661e-05
13,4.33618038591e-05
14,4.59078916669e-05
15,4.16478788625e-05
16,8.99293480626e-05
17,0.000162819218003
18,8.33089520501e-05
19,0.000187336991449
20,2.00163645018e-05
21,1.36178452314e-05
22,1.61921635131e-05
23,1.18849163303e-05
24,6.43011802444e-05
25,0.000316457608529
26,0.000157410230273
27,0.000354719207299
28,2.96537224716e-05
29,2.30608048929e-05
30,2.57133365349e-05
31,2.12752250828e-05
32,7.420840213e-05
33,0.000316499548673
34,0.000157438463946
35,0.000354781506176
36,2.96727287294e-05
37,2.30694176115e-05
38,2.5726130946e-05
39,2.1281022809e-05
40,7.4300938477e-05
41,0.000316583627394
42,0.000157495064883
43,0.000354906398662
44,2.97108311785e-05
45,2.3086683804e-05
46,2.57517803103e-05
47,2.12926456964e-05
48,7.44864488974e-05
49,0.00031662576618
50,0.000157523432288
51,0.000354968992581
52,2.97299274645e-05
53,2.30953373207e-05
54,2.57646353271e-05
55,2.12984708866e-05
56,7.45794234304e-05
57,0.000371840423404
58,0.000184112099888
59,0.000415025950327
60,3.31002693032e-05
61,2.64552199286e-05
62,2.91287260583e-05
63,2.4655520709e-05
64,7.76246500728e-05
65,0.000371925033507
66,0.000184169058567
67,0.000415151632071
68,3.31386125852e-05
69,2.64725952597e-05
70,2.9154537548e-05
71,2.4667217065e-05
72,7.78113326745e-05
73,0.00043167750838
74,0.000213160678378
75,0.000480590461949
76,3.72272101034e-05
77,3.02715642458e-05
78,3.30700345499e-05
79,2.8387742744e-05
80,8.35250636764e-05
81,0.000293688601428
82,0.000146790229607
83,0.000330666476274
84,2.89674046103e-05
85,2.19346374642e-05
86,2.47641364698e-05
87,2.00299283161e-05
88,7.68113353973e-05
89,0.000293778147636
90,0.000146850511429
91,0.000330799489546
92,2.90079850498e-05
93,2.19530266151e-05
94,2.47914539857e-05
95,2.00423071424e-05
96,7.70089064666e-05
97,0.000577253556626
98,0.000283360765965
99,0.000639096095392
100,4.62835493972e-05
101,3.91951726764e-05
102,4.20470454441e-05
103,3.72754021387e-05
104,9.2470774534e-05
105,0.000309003550757
106,0.000154301363346
107,0.000347608354577
108,3.01817943913e-05
109,2.29695240055e-05
110,2.58712437353e-05
111,2.10161978761e-05
112,7.91900676638e-05
113,0.000259083429921
114,0.000130315978829
115,0.000293416188489
116,2.72404304571e-05
117,1.99711312181e-05
118,2.2895795754e-05
119,1.80023592757e-05
120,7.7014868248e-05
121,0.000259315371513
122,0.000130472120481
123,0.000293760716839
124,2.73455418522e-05
125,2.00187628507e-05
126,2.29665536153e-05
127,1.80344229626e-05
128,7.75266104071e-05
